Category,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information
Concrete and plaster products,Concrete block,kg,2.6,3.7,0.24,http://doi.org/10.26188/5da552ea39cdc
Concrete and plaster products,Concrete block - 390 × 190 × 90 mm,no.,24.3,34.2,2.2,http://doi.org/10.26188/5da552ea39cdc
Concrete and plaster products,Concrete block - 390 × 190 × 140 mm,no.,29.6,41.6,2.7,http://doi.org/10.26188/5da552ea39cdc
Concrete and plaster products,Concrete block - 390 × 190 × 190 mm,no.,35.2,49.4,3.2,http://doi.org/10.26188/5da552ea39cdc
Concrete and plaster products,Cement mortar,kg,3.9,3.7,0.35,http://doi.org/10.26188/5da5528f75432
Concrete and plaster products,Portland cement,kg,11.8,7.8,1.3,http://doi.org/10.26188/5da55701cee5d
Concrete and plaster products,Autoclaved aerated concrete (AAC),kg,8.5,8.4,0.71,http://doi.org/10.26188/5da551fc254d7
Concrete and plaster products,AAC block - 600 × 200 × 100 mm,no.,56.4,55.4,4.7,http://doi.org/10.26188/5da551fc254d7
Concrete and plaster products,AAC block - 600 × 200 × 150 mm,no.,84.5,83,7,http://doi.org/10.26188/5da551fc254d7
Concrete and plaster products,AAC block - 600 × 200 × 200 mm,no.,113,111,9.4,http://doi.org/10.26188/5da551fc254d7
Concrete and plaster products,Concrete 20 MPa,m³,2 404,4 154,328,http://doi.org/10.26188/5da54a205d0e5
Concrete and plaster products,Concrete 20 MPa - 30% fly ash,m³,2 026,4 011,251,http://doi.org/10.26188/5da54a205d0e5
Concrete and plaster products,Concrete 20 MPa - 30% GGBFS,m³,2 186,4 034,263,http://doi.org/10.26188/5da54a205d0e5
Concrete and plaster products,Concrete 25 MPa,m³,2 581,4 196,361,http://doi.org/10.26188/5da54a4ae57a1
Concrete and plaster products,Concrete 25 MPa - 30% fly ash,m³,2 241,4 028,277,http://doi.org/10.26188/5da54a4ae57a1
Concrete and plaster products,Concrete 25 MPa - 30% GGBFS,m³,2 441,4 105,293,http://doi.org/10.26188/5da54a4ae57a1
Concrete and plaster products,Concrete 32 MPa,m³,3 015,4 300,416,http://doi.org/10.26188/5da550538b369
Concrete and plaster products,Concrete 32 MPa - 30% fly ash,m³,2 484,4 066,314,http://doi.org/10.26188/5da550538b369
Concrete and plaster products,Concrete 32 MPa - 30% GGBFS,m³,2 704,4 103,331,http://doi.org/10.26188/5da550538b369
Concrete and plaster products,Concrete 40 MPa,m³,3 476,4 355,497,http://doi.org/10.26188/5da5507e33fe6
Concrete and plaster products,Concrete 40 MPa - 30% fly ash,m³,2 854,4 075,373,http://doi.org/10.26188/5da5507e33fe6
Concrete and plaster products,Concrete 40 MPa - 30% GGBFS,m³,3 106,4 120,392,http://doi.org/10.26188/5da5507e33fe6
Concrete and plaster products,Concrete 50 MPa,m³,3 998,4 365,600,http://doi.org/10.26188/5da5514c0eea5
Concrete and plaster products,Concrete 50 MPa - 30% fly ash,m³,3 634,4 246,467,http://doi.org/10.26188/5da5514c0eea5
Concrete and plaster products,Concrete 50 MPa - 30% GGBFS,m³,3 958,4 325,492,http://doi.org/10.26188/5da5514c0eea5
Concrete and plaster products,Fibre cement weatherboard,kg,26,31.3,2.2,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,FC weatherboard - 150 × 16 mm - per m² wall,m²,549,660,46.9,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,FC weatherboard - 180 × 16 mm - per m² wall,m²,549,660,46.9,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,FC weatherboard - 205 × 7.5 mm - per m² wall,m²,304,365,26,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,FC weatherboard - 230 × 7.5 mm - per m² wall,m²,284,341,24.2,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,FC weatherboard - 300 × 7.5 mm - per m² wall,m²,294,354,25.2,http://doi.org/10.26188/5da55463adae0
Concrete and plaster products,Fibre cement sheet,kg,18.3,19.8,1.6,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Fibre cement sheet - 4.5 mm,m²,119,129,10.2,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Fibre cement sheet - 6 mm,m²,159,172,13.5,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Fibre cement sheet - 7.5 mm,m²,198,214,16.9,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Fibre cement sheet - 18 mm,m²,475,514,40.6,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Fibre cement sheet - 24 mm,m²,634,686,54.2,http://doi.org/10.26188/5da554545f280
Concrete and plaster products,Gypsum plaster,kg,6.5,6.5,0.44,http://doi.org/10.26188/5da554d7d6197
Concrete and plaster products,Plasterboard - 10 mm,m²,86.1,85.6,5.8,http://doi.org/10.26188/5da556516b6e3
Concrete and plaster products,Plasterboard - 13 mm,m²,95.7,97.9,6.5,http://doi.org/10.26188/5da556516b6e3
Concrete and plaster products,Concrete roof tile,kg,4.3,5.7,0.39,http://doi.org/10.26188/5da552f96c488
Glass,Double glazing - flat glass,m²,1 336,1 558,101,http://doi.org/10.26188/5da55375f3452
Glass,"Double glazing - flat glass, 4:12:4",m²,1 336,1 558,101,http://doi.org/10.26188/5da55375f3452
Glass,"Double glazing - flat glass, 6:6:6",m²,1 441,1 671,108,http://doi.org/10.26188/5da55375f3452
Glass,"Double glazing - flat glass, 6:12:6",m²,1 441,1 671,108,http://doi.org/10.26188/5da55375f3452
Glass,Flat glass,kg,28.5,32.2,2,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 3 mm,m²,222,251,15.7,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 4 mm,m²,296,335,21,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 5 mm,m²,370,418,26.2,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 6 mm,m²,444,502,31.4,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 10 mm,m²,740,837,52.4,http://doi.org/10.26188/5da554738e0e0
Glass,Flat glass sheet - 12 mm,m²,888,1 004,62.9,http://doi.org/10.26188/5da554738e0e0
Glass,Laminated glass,kg,36.4,59.7,2.8,http://doi.org/10.26188/5da5556225c38
Glass,Laminated glass sheet - 6.38 mm,m²,604,991,46.8,http://doi.org/10.26188/5da5556225c38
Glass,Laminated glass sheet - 8.38 mm,m²,794,1 302,61.4,http://doi.org/10.26188/5da5556225c38
Glass,Laminated glass sheet - 10.38 mm,m²,983,1 613,76.1,http://doi.org/10.26188/5da5556225c38
Glass,Laminated glass sheet - 12.38 mm,m²,1 172,1 923,90.7,http://doi.org/10.26188/5da5556225c38
Glass,Double glazing - toughened glass,m²,1 536,1 772,115,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 4:12:4",m²,1 536,1 772,115,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 5:6:5",m²,1 635,1 879,122,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 5:12:5",m²,1 635,1 879,122,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 6:6:6",m²,1 729,1 980,128,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 6:12:6",m²,1 729,1 980,128,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 10:6:6",m²,2 254,2 543,165,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 10:6:10",m²,2 779,3 107,202,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 10:12:6",m²,2 254,2 543,165,http://doi.org/10.26188/5da553f3e04ff
Glass,"Double glazing - toughened glass, 10:12:10",m²,2 779,3 107,202,http://doi.org/10.26188/5da553f3e04ff
Glass,Toughened glass,kg,29.8,30.2,2.2,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 3 mm,m²,232,235,17.1,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 4 mm,m²,310,314,22.8,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 5 mm,m²,387,392,28.5,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 6 mm,m²,465,471,34.2,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 10 mm,m²,775,785,56.9,http://doi.org/10.26188/5da5589913df4
Glass,Toughened glass sheet - 12 mm,m²,929,942,68.3,http://doi.org/10.26188/5da5589913df4
Glass,Cellulose insulation,kg,12.1,20.5,0.79,http://doi.org/10.26188/5da5528023cab
Glass,Cellulose insulation - 80 mm (R2),m²,48.3,82.1,3.1,http://doi.org/10.26188/5da5528023cab
Glass,Cellulose insulation - 100 mm (R2.5),m²,60.3,103,3.9,http://doi.org/10.26188/5da5528023cab
Glass,Aluminium foil insulation,m²,25.7,33.8,1.9,http://doi.org/10.26188/5da551d0640fa
Glass,Glasswool insulation,kg,57.5,40.7,4,http://doi.org/10.26188/5da55494afb75
Glass,Glasswool insulation - 80 mm (R2),m²,115,81.4,8,http://doi.org/10.26188/5da55494afb75
Glass,Glasswool insulation - 100 mm (R2.5),m²,144,102,10.1,http://doi.org/10.26188/5da55494afb75
Glass,Rockwool insulation,kg,57.1,62.2,3.8,http://doi.org/10.26188/5da55737d3e5e
Glass,Rockwool insulation - 80 mm (R2),m²,320,348,21.1,http://doi.org/10.26188/5da55737d3e5e
Glass,Rockwool insulation - 100 mm (R2.5),m²,400,435,26.4,http://doi.org/10.26188/5da55737d3e5e
Glass,Polystyrene (EPS/XPS) insulation,kg,155,841,8,http://doi.org/10.26188/5da556cc242c5
Glass,EPS/XPS insulation - 72 mm (R2),m²,251,1 362,12.9,http://doi.org/10.26188/5da556cc242c5
Glass,EPS/XPS insulation - 90 mm (R2.5),m²,314,1 703,16.2,http://doi.org/10.26188/5da556cc242c5
Glass,Polyurethane (PU) rigid foam insulation,kg,293,690,17.5,http://doi.org/10.26188/5da556ef90771
Glass,PU rigid foam insulation - 44 mm (R2),m²,387,911,23.1,http://doi.org/10.26188/5da556ef90771
Glass,PU rigid foam insulation - 55 mm (R2.5),m²,484,1 138,28.8,http://doi.org/10.26188/5da556ef90771
Metals,Aluminium bar,kg,345,219,29.6,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar flat - 12 mm × 3mm,m,33.7,21.3,2.9,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar flat - 40 mm × 3mm,m,112,71.2,9.6,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar flat - 100 mm × 6mm,m,562,356,48.2,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar round - 16 mm dia.,m,188,119,16.2,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar round - 50 mm dia.,m,1 838,1 164,158,http://doi.org/10.26188/5da5519635948
Metals,Aluminium bar round - 150 mm dia.,m,16 542,10 479,1 420,http://doi.org/10.26188/5da5519635948
Metals,Aluminium composite panel,m²,1 196,1 174,102,http://doi.org/10.26188/5da551a4afce4
Metals,Aluminium extruded,kg,358,182,29.4,http://doi.org/10.26188/5da551b3248d5
Metals,Aluminium angle extruded,kg,383,244,32.7,http://doi.org/10.26188/5da551b3248d5
Metals,Aluminium extruded powdercoated,kg,415,251,33.6,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium round tube - 25 mm dia., 3.2 mm thick",m,114,57.9,9.4,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium round tube - 60 mm dia., 10 mm thick",m,871,442,71.5,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium round tube - 80 mm dia., 6 mm thick",m,705,357,57.8,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium square tube - 20 × 20 mm, 1.6 mm thick",m,59.7,30.3,4.9,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium square tube - 40 × 40 mm, 2 mm thick",m,152,76.8,12.4,http://doi.org/10.26188/5da551b3248d5
Metals,"Aluminium square tube - 100 × 100 mm, 3 mm thick",m,574,291,47.1,http://doi.org/10.26188/5da551b3248d5
Metals,Aluminium sheet,kg,295,160,26.7,http://doi.org/10.26188/5da551dec2e47
Metals,Aluminium sheet - 1.6 mm,m²,1 280,693,116,http://doi.org/10.26188/5da551dec2e47
Metals,Aluminium sheet - 3 mm,m²,2 400,1 300,217,http://doi.org/10.26188/5da551dec2e47
Metals,Aluminium sheet - 6 mm,m²,4 800,2 600,434,http://doi.org/10.26188/5da551dec2e47
Metals,Copper pipe,kg,150,289,10.1,http://doi.org/10.26188/5da55317e50fc
Metals,"Copper pipe - 12.7 mm outer dia., 0.91 mm thick",m,45.1,87,3,http://doi.org/10.26188/5da55317e50fc
Metals,"Copper pipe - 19.05 mm outer dia., 1.02 mm thick",m,77.3,149,5.2,http://doi.org/10.26188/5da55317e50fc
Metals,"Copper pipe - 40 mm outer dia., 1.22 mm thick",m,199,384,13.4,http://doi.org/10.26188/5da55317e50fc
Metals,Copper sheet,kg,226,389,15.1,http://doi.org/10.26188/5da55308b9bbe
Metals,Copper sheet - 0.9 mm,m²,1 819,3 132,121,http://doi.org/10.26188/5da55308b9bbe
Metals,Copper sheet - 1.2 mm,m²,2 426,4 175,162,http://doi.org/10.26188/5da55308b9bbe
Metals,Copper sheet - 2 mm,m²,4 043,6 959,270,http://doi.org/10.26188/5da55308b9bbe
Metals,Copper sheet - 3 mm,m²,6 064,10 438,405,http://doi.org/10.26188/5da55308b9bbe
Metals,Copper wire,kg,671,897,41.8,http://doi.org/10.26188/5da553272580f
Metals,Stainless steel wire,kg,226,253,13.9,http://doi.org/10.26188/5da5580349dda
Metals,Bare wire - 2 mm dia.,m,5.5,6.2,0.34,http://doi.org/10.26188/5da5580349dda
Metals,Bare wire - 3.2 mm dia.,m,14.1,15.8,0.87,http://doi.org/10.26188/5da5580349dda
Metals,Wire Rope - 1.6 mm dia.,m,2.4,2.7,0.15,http://doi.org/10.26188/5da5580349dda
Metals,Wire Rope - 4 mm dia.,m,14.2,15.9,0.87,http://doi.org/10.26188/5da5580349dda
Metals,Wire Rope - 8 mm dia.,m,57.8,64.9,3.6,http://doi.org/10.26188/5da5580349dda
Metals,Wire Rope - 12 mm dia.,m,127,143,7.8,http://doi.org/10.26188/5da5580349dda
Metals,Cold rolled stainless steel,kg,123,168,9.2,http://doi.org/10.26188/5dd09ea396b11
Metals,Stainless steel extruded,kg,155,138,11.8,http://doi.org/10.26188/5da557cc41ed8
Metals,Stainless steel sheet,kg,97.6,140,7.2,http://doi.org/10.26188/5da557de9ee33
Metals,Stainless steel sheet products,kg,238,263,14.7,http://doi.org/10.26188/5da557de9ee33
Metals,Cold rolled steel,kg,51.7,77.6,3.7,http://doi.org/10.26188/5da552dadce9f
Metals,Hot rolled galvanised structural steel,kg,43,43.2,3.3,http://doi.org/10.26188/5da5554017f41
Metals,Hot rolled structural steel,kg,38.8,37.1,2.9,http://doi.org/10.26188/5da55550a40e9
Metals,Steel reinforcement bar - 6 mm dia.,m,8.6,8.2,0.64,http://doi.org/10.26188/5da55550a40e9
Metals,Steel reinforcement bar - 8 mm dia.,m,15.3,14.6,1.1,http://doi.org/10.26188/5da55550a40e9
Metals,Steel reinforcement bar - 12 mm dia.,m,34.5,32.9,2.6,http://doi.org/10.26188/5da55550a40e9
Metals,Steel hollow section extruded,kg,54.8,45.2,4.6,http://doi.org/10.26188/5da558259be14
Metals,"Square tube - 20 × 20 mm, 1.6 mm thick",m,55,45.4,4.6,http://doi.org/10.26188/5da558259be14
