Name,Category,Category,Locked,Deletable,Id,Family and Type,Family,Type,Family Name,Type Id,PLR_Asset_Name,PLR_Location_Code,PLR_Instance_Number,PLR_Parent_Uniclass_ID,PLR_Parent_Uniclass_Descr.,Image,Keynote,Design Option,Design Option,Model,Manufacturer,Comments,URL,Description,Assembly Description,Assembly Code,Edited by,Workset,Type Name,Cost,Mark,Properties,Subclass,Class,Grade,Species,Thermal expansion coefficient,Bending,Shear modulus,Poisson ratio,Tension perpendicular to grain,Shear parallel to grain,Compression perpendicular to grain,Compression parallel to grain,Young modulus,Material Type,Name,Lightweight,Behavior,Resistance calculation strength,Reduction factor for shear,Minimum tensile strength,Minimum yield stress,Shear strength modification,Shear reinforcement yield stress,Bending reinforcement,Concrete compression,Thermal expansion coefficient Z,Thermal expansion coefficient Y,Thermal expansion coefficient X,Unit weight,Shear modulus Z,Shear modulus Y,Shear modulus X,Poisson ratio Z,Poisson ratio Y,Poisson ratio X,Young modulus Z,Young modulus Y,Young modulus X,Shininess,Smoothness,Glow,Transparency,Color,Phase Demolished,Phase Created
COX - MDF - Medium Density Fibreboard,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,556,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,MDF,Revit Element : <None>,Main Model,,,,,MEDIUM DENSITY FIBREBOARD,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - MDF - Medium Density Fibreboard,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Metal - Copper,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,557,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Copper,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Metal - Copper,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"139,237,147",Revit Element : <None>,Revit Element : <None>
Default Floor,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,758,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT FLOOR,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Floor,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"222,224,199",Revit Element : <None>,Revit Element : <None>
Structure - Timber Joist/Rafter Layer,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,788,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Structure - Timber Joist/Rafter Layer,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Roofing - EPDM Membrane,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,792,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,EPDM,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Roofing - EPDM Membrane,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
COX - VS - Vinyl Sheeting,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,794,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,VS,Revit Element : <None>,Main Model,,,,,VINYL SHEETING,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - VS - Vinyl Sheeting,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"248,213,177",Revit Element : <None>,Revit Element : <None>
COX - CTF - Ceramic Tile Floor 200mm,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,812,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,FLR-403,Revit Element : <None>,Main Model,,,,,CERAMIC TILE FLOOR,,,,10,,0,CTF2,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CTF - Ceramic Tile Floor 200mm,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"229,219,210",Revit Element : <None>,Revit Element : <None>
COX - CEA - Concrete - Exposed Aggregate Finish,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,813,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,CEA,Revit Element : <None>,Main Model,,,,,CONCRETE - EXPOSED AGGRAGATE FINISH,,,,10,,0,CEA,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CEA - Concrete - Exposed Aggregate Finish,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,0,50,FALSE,0,"209,209,209",Revit Element : <None>,Revit Element : <None>
Roofing - Asphalt,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,865,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Asphalt Roofing,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Roofing - Asphalt,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"155,155,155",Revit Element : <None>,Revit Element : <None>
Structure - Precast Concrete Beams,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,5091,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Structure - Precast Concrete Beams,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Site - Hardcore,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,5121,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Hardcore,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Site - Hardcore,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,0,0,FALSE,0,"224,224,224",Revit Element : <None>,Revit Element : <None>
Roofing - Felt,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,5181,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Roof Felt,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Roofing - Felt,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,0,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
COX - EGC - Exposed Grid Ceiling 600 x 600mm,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,7247,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,EGC02,Revit Element : <None>,Main Model,,,,,EXPOSED GRID CEILING TILE 600 x 600,,,,10,,0,EGC02,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - EGC - Exposed Grid Ceiling 600 x 600mm,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"245,255,217",Revit Element : <None>,Revit Element : <None>
Phase-New,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,8798,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,PHASE-NEW,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Phase-New,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"0,0,0",Revit Element : <None>,Revit Element : <None>
Site - Water,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,10115,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Water,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Site - Water,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,20,"117,191,206",Revit Element : <None>,Revit Element : <None>
Door - Panel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,10429,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,Solid Timber,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Door - Panel,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"255,255,255",Revit Element : <None>,Revit Element : <None>
COX - LAM - Laminate,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,10862,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,LAM,Revit Element : <None>,Main Model,,,,,LAMINATE,,,,10,,0,LAM,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - LAM - Laminate,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"247,247,239",Revit Element : <None>,Revit Element : <None>
COX - CP - Chrome Plated,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,10868,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,CP,Revit Element : <None>,Main Model,,,,,CHROME PLATED,,,,10,,0,CP,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CP - Chrome Plated,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"244,244,244",Revit Element : <None>,Revit Element : <None>
Parking Stripe,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,12859,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Parking Stripe,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"250,250,91",Revit Element : <None>,Revit Element : <None>
Door - Handle,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,21208,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Door - Handle,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
COX - CR - Cement Render,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,22892,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,CR,Revit Element : <None>,Main Model,,,,,CEMENT RENDER,,,,10,,0,CR,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CR - Cement Render,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"218,194,177",Revit Element : <None>,Revit Element : <None>
COX - CPT - Carpet,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,29105,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,CPT,Revit Element : <None>,Main Model,,,,,CARPET,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CPT - Carpet,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"222,208,139",Revit Element : <None>,Revit Element : <None>
Door - Frame,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,30200,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Door - Frame,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Door - Frame/Mullion,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,30821,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Door - Frame/Mullion,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
Default Mass,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,50298,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT MASS,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Mass,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,75,"177,154,239",Revit Element : <None>,Revit Element : <None>
Default Floor Area Face,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,52139,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT FLOOR AREA FACE,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Floor Area Face,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,75,"255,145,145",Revit Element : <None>,Revit Element : <None>
COX - MRD - Metal Roof Sheet,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,133113,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,RFS-101,Revit Element : <None>,Main Model,,,,,METAL ROOF DECK,,,,10,,0,MRD,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - MRD - Metal Roof Sheet,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"227,227,227",Revit Element : <None>,Revit Element : <None>
Glass,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,133206,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,Rendering appearance not upgraded ,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76904122.85,0.3,2.4,8.9,5200,51200,199947961.5,0,Glass,FALSE,0,344737.86,1.66,448159.22,344737.86,1,413685.44,413685.44,27579.03,0,0,0,0,76904122.85,76904122.85,76904122.85,0.3,0.3,0.3,199947961.5,199947961.5,199947961.5,64,50,FALSE,70,"140,181,234",Revit Element : <None>,Revit Element : <None>
Default Light Source,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,375094,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT LIGHT SOURCE,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76904122.85,0.3,2.4,8.9,5200,51200,199947961.5,0,Default Light Source,FALSE,0,344737.86,1.66,448159.22,344737.86,1,413685.44,413685.44,27579.03,0,0,0,0,76904122.85,76904122.85,76904122.85,0.3,0.3,0.3,199947961.5,199947961.5,199947961.5,64,50,FALSE,75,"255,255,0",Revit Element : <None>,Revit Element : <None>
Carbon Steel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520965,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,,,,,,,,,,,,,0,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Copper,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520966,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,,,,,,,,,,,,,0,Copper,,,,,,,,,,,,,,,,,,,,,,,,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Ductile Iron,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520967,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,,,,,,,,,,,,,0,Ductile Iron,,,,,,,,,,,,,,,,,,,,,,,,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Plastic,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520968,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,,,,,,,,,,,,,0,Plastic,,,,,,,,,,,,,,,,,,,,,,,,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Stainless Steel,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,520969,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,,,-1,,,,,,,,,,,,,,0,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
Concrete - Cast In Situ,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,528385,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Concrete - Cast In Situ,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"192,192,192",Revit Element : <None>,Revit Element : <None>
